row_index,mfg_part_num,part_desc,brand_e1,brand_unilog,brand_dib,part_manuf,placeholder_flags,coarse_category,is_dishwasher,classification_method
0,MDB8959SKZ,MDB8959SKZ Maytag Top Control Dishwasher 47 dBA 120V 15A Stainless Steel,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
1,DWHD650WFP,DWHD650WFP Thermador Sapphire Series Dishwasher 40 dBA 120V 15A Panel Ready,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
2,BDF450,BDF450 Beko Front Control Dishwasher 45 dBA 120V 12A Stainless Steel,,,,MSC Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'MSC Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Jam Industrial Supply LLC'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
3,DD24SDFT9N,DD24SDFT9N Fisher Paykel Double DishDrawer 44 dBA 120V 15A Stainless Steel,,,,Fastenal Company,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Fastenal Company', '_distributor_code': None, '_distributor_cluster': 'Fastenal Company'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
4,WDT750SAKZ,WDT750SAKZ Whirlpool Top Control Dishwasher 47 dBA 120V 15A Fingerprint Resistant,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
5,KDTM404KPS,KDTM404KPS KitchenAid 44 dBA Dishwasher PrintShield Stainless Steel,,,,Appliance Dealers Cooperative (APPDE),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Appliance Dealers Cooperative', '_distributor_code': 'APPDE', '_distributor_cluster': 'Appliance Dealers Cooperative'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
6,GDF650SSVSS,GDF650SSVSS GE Front Control Dishwasher 51 dBA 120V 15A Stainless Steel,,,,Grainger Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Grainger Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Grainger Industrial Supply'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
7,FFID2426TS,FFID2426TS Frigidaire Built-In Dishwasher 54 dBA 120V 15A Stainless Steel,,,,Freud Inc (2435),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Freud Inc', '_distributor_code': '2435', '_distributor_cluster': 'Freud Inc'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
8,DW80CG5450SR,DW80CG5450SR Samsung StormWash Dishwasher 42 dBA 120V 15A Stainless Steel,,,,Jam Industrial Supply LLC (JAMIN),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'Jam Industrial Supply LLC', '_distributor_code': 'JAMIN', '_distributor_cluster': 'Jam Industrial Supply LLC'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
9,LDTS5551D,LDTS5551D LG Top Control Dishwasher QuadWash 46 dBA 120V 15A Stainless Steel,,,,MSC Industrial Supply,"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False, '_distributor_name': 'MSC Industrial Supply', '_distributor_code': None, '_distributor_cluster': 'Jam Industrial Supply LLC'}",Appliances > Large Appliances > Dishwashers,True,llm-classified
